,customer_age,vendor_count,product_count,is_chain,first_order,last_order,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken_Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle_Dishes,CUI_OTHER,CUI_Street_Food/Snacks,CUI_Thai,Total_Orders_Per_Client,mnt,mnt_Per_Order,Items_Per_Order,frq,rcn,activity,CUI_diversity,Loyalty,Recency_Score,Frequency_Score,Monetary_Score,CLV_Score,Orders_Night,Orders_Dawn,Orders_Morning,Orders_Afternoon,Orders_Evening,Orders_Dusk
customer_age,1.0,0.0006376885405910188,0.00511098268088799,0.001599466784741866,0.005955512200167355,0.014352353654602669,0.007939601953487033,0.01328027419819458,-0.003000877189205697,0.006270120954102019,0.0014500744543672545,-0.0058149116639553446,-0.008316352537143287,-0.007268897540737404,-0.0058493034973455885,0.0013340157961980845,0.0025346730272110068,-0.0007501628713158006,0.008167426728002648,0.004739088310226977,-0.005853758486983194,0.003919572622243972,0.008911730395459795,0.000946108043320562,0.0005989514441339735,-0.004212209249864166,-0.014352353654602698,0.006273571543066382,-0.0008520527734153122,0.010545839640611267,0.016327975805606694,-0.004212209249864166,0.008911730395459802,0.01092802848944413,-0.0019047716189037336,-0.002042215760003529,-0.001296067383505967,0.008363645766324663,0.005063060921455211,-0.0008627654462103874
vendor_count,0.0006376885405910188,1.0,0.8270721031068613,0.7627561797560556,-0.3877436501455285,0.3700368396108138,0.2714205461198526,0.3063137078858893,0.21478182827304135,0.18528548006548462,0.2500692763130657,0.24833430898735295,0.14733916440912856,0.13889934852473937,0.15360458777882216,0.11430720089963814,0.22717112217805074,0.21470700033380413,0.35835017139390785,0.14236297751364443,0.16934776609737384,0.8422433939592794,0.6495288680410004,-0.16325369016832086,0.006873538959093085,-0.31764593915924766,-0.37003683961081263,0.6090514815845933,0.8685863940977934,0.1614726963692775,0.29913354898034294,-0.31764593915924766,0.6495288680409999,0.1351792564602922,0.23240301788974252,0.26647686628548944,0.5452610737112878,0.5566659058133595,0.5499028915319699,0.3787840775816571
product_count,0.00511098268088799,0.8270721031068613,1.0,0.8268459108651252,-0.35910805701940923,0.34470502480766047,0.3348881401270331,0.3362475881167585,0.22981714711436613,0.27375290009139325,0.25647502912983,0.3723324530987659,0.12641542040019169,0.1697378868034444,0.23527489122714518,0.25994805886559114,0.27860540402989586,0.2842454970833939,0.4484030606867998,0.17971264128151815,0.23791750123363828,0.964990015259748,0.8242883492688371,-0.05208623349525512,0.14923579187629826,-0.22868748808172928,-0.3447050248076593,0.5656288712227192,0.6944038045955171,0.44736899869492075,0.31055161273856374,-0.22868748808172928,0.8242883492688498,0.25142927903200235,0.2081897957129434,0.23789243073370955,0.6449851380797418,0.6634911130678888,0.6585568871332877,0.3939324225960876
is_chain,0.001599466784741866,0.7627561797560556,0.8268459108651252,1.0,-0.3318212471152306,0.29329366446334554,0.2654152214174375,0.10828459646114184,0.24106359738737598,0.23774499105348842,0.3102519313070031,0.25930220072957993,0.07160565463797887,0.14237311404522968,0.15520707081340793,0.050353310531825596,0.18785564171919963,0.27364484962505353,0.38123113021706484,0.010849596497657576,0.1813641593917825,0.866973279175479,0.5017098718894203,-0.23504123656926063,-0.029339231081211854,-0.20584483177234683,-0.2932936644633439,0.5029784936914456,0.6946091052277098,0.3707377880543137,0.2681292726499289,-0.20584483177234683,0.5017098718894244,0.16116955669567504,0.11175455158983115,0.13559727476151703,0.5823120581921553,0.612288698478873,0.6189936365200632,0.39715746440507893
first_order,0.005955512200167355,-0.3877436501455285,-0.35910805701940923,-0.3318212471152306,1.0,0.2259626660695864,-0.1587143444838038,-0.1168247405828666,-0.08207269601408058,-0.06665013299033262,-0.10327850938304704,-0.08564196969219473,-0.043780722630800004,-0.0581050542192711,-0.08343840309273672,-0.11059734165247913,-0.09195508860004413,-0.08510230731217842,-0.13671837049994368,-0.054204402645801474,-0.08653032243091933,-0.377043444295015,-0.2831354389609593,0.16011729065557803,0.027884693744540466,0.45429230020928973,-0.22596266606959012,-0.650112858741529,-0.39703114139031137,-0.2700519313241001,0.1268046609266332,0.45429230020928973,-0.28313543896096083,0.36603242808723924,-0.09466469139877093,-0.10537728944581878,-0.22858322683521623,-0.25683507452532883,-0.27012056446695343,-0.15359416034669107
last_order,0.014352353654602669,0.3700368396108138,0.34470502480766047,0.29329366446334554,0.2259626660695864,1.0,0.14843614260404275,0.1481258320936281,0.07479580031630702,0.07535991052604063,0.08165783982414826,0.07856911108761151,0.05202566531557136,0.07678297128600589,0.07912576929406678,0.11323379946340315,0.11155192602213403,0.05552844736324624,0.14001068317063858,0.06323181678337914,0.08481983172356947,0.3618611621940222,0.30158374629423657,-0.10301801105701891,-0.02591881593938608,-0.4165282942719181,-0.9999999999999999,0.5932839563641322,0.36700908034101115,0.26857626885676766,0.6207223288499802,-0.4165282942719181,0.3015837462942397,0.2147734004442757,0.10520188271230971,0.126271828662011,0.23722185854529293,0.24861408098620913,0.23590520840611645,0.1236334883559828
CUI_American,0.007939601953487033,0.2714205461198526,0.3348881401270331,0.2654152214174375,-0.1587143444838038,0.14843614260404275,1.0,0.0946889969802154,0.0057023499535242585,0.08973396798249901,-0.0129041232702707,0.006955123045972863,0.028845748107385386,0.017099444659648227,0.026942461224795586,0.09041432922186783,0.05880928875826649,-0.024633223055912114,0.08896583499036297,0.04028385579646353,0.055161388823044576,0.3346403446051644,0.3928082925229957,0.049833686121999836,0.03938217370361257,-0.12000766552416087,-0.1484361426040422,0.24693816680437022,0.2094008437612741,0.20823770367148173,0.12729430535990624,-0.12000766552416087,0.392808292522999,0.0963861986960152,0.18367745417046627,0.1307309983277954,0.22280778118778016,0.20712519322141917,0.21631480619842988,0.06108669597284412
CUI_Asian,0.01328027419819458,0.3063137078858893,0.3362475881167585,0.10828459646114184,-0.1168247405828666,0.1481258320936281,0.0946889969802154,1.0,0.09255117166557167,0.0058167415612639176,-0.05551664049266568,0.03343264114407125,0.11689288812168351,0.038039480520485155,-0.030958554196297686,-0.06492120906106638,0.08544125617668367,-0.04137084177363196,-0.042247152966337555,0.1853704402231686,-0.028420644639124498,0.27675968955793867,0.6138862401830838,0.291817668465521,0.18563319192101352,-0.11314245678889291,-0.14812583209362756,0.21207995842041996,0.12423927418833196,0.09030049008534943,0.11135006677266077,-0.11314245678889291,0.6138862401830851,0.1420848806401058,0.4281109820834955,0.40774789452148874,0.2510588853371661,0.08381195680356175,-0.02889924221871943,0.022132085168739102
CUI_Beverages,-0.003000877189205697,0.21478182827304135,0.22981714711436613,0.24106359738737598,-0.08207269601408058,0.07479580031630702,0.0057023499535242585,0.09255117166557167,1.0,-0.021651658116468377,0.013636670094078658,0.04412522104427024,0.076935182648329,0.009771640562270102,-0.030530472856362453,-0.07126645059358355,0.00822945253505441,0.02851838577180905,-0.0025602199527141275,0.06236503112673086,-0.02056027064515417,0.21447284842918476,0.24798909926184967,0.0944038400715545,0.08382663073789125,-0.06093640999829997,-0.07479580031630667,0.1261637366078414,0.15363371879268664,0.05145641788872665,0.06647668941258966,-0.06093640999829997,0.24798909926185345,0.06176273643864317,0.17293680753096485,0.283042937707015,0.18458754326739163,0.11336476442332914,0.008879136722771904,0.0518268249603518
CUI_Cafe,0.006270120954102019,0.18528548006548462,0.27375290009139325,0.23774499105348842,-0.06665013299033262,0.07535991052604063,0.08973396798249901,0.0058167415612639176,-0.021651658116468377,1.0,0.001960867843601511,0.01080472150309367,-0.01376001037824802,0.063274148323094,0.05272452161058526,0.09415145243756515,0.08037241846535527,-0.006424786955743203,0.20459505147224347,-0.025219082215352268,0.0924711470944075,0.27245063212492693,0.260579223890408,-0.017250733247049597,0.01902312573968081,-0.023006018818024977,-0.07535991052604031,0.11385906092606414,0.17164118653141705,0.12516820583879212,0.08529173720695493,-0.023006018818024977,0.26057922389041205,0.10692092059363306,-0.02458315828891385,0.08588414924634517,0.29852304523918033,0.17514887222867664,0.15374677970896428,0.022070649442139195
